"topic","value"
"Purpose","Manual review workbook for crawler-generated hospital doctor rosters before any database import or public website integration."
"Publication status","No crawler doctors have been imported into the DB or published by this export."
"hospitalRoster","Usable hospital-level doctor roster. Department mapping may need review."
"departmentMappedRoster","Stronger Master_Dept/sourceUrl mapping evidence exists."
"Caution flags","profileCoverageLow, mappingReviewNeeded, listOnlyMostly, sourceUrlMapped, hospitalRosterOnly."
"Generated at","2026-06-22T18:48:39.889Z"
"manualDecision allowed values","approve, reject, needs_check, duplicate, wrong_department, out_of_scope, keep_roster_only"
"manualDecision approve","Acceptable for future import/display after downstream checks."
"manualDecision reject","Do not use this row in future import/display."
"manualDecision needs_check","Reviewer cannot decide yet; keep out of automated import."
"manualDecision duplicate","Duplicate of another row; reviewer should identify target in manualNotes if possible."
"manualDecision wrong_department","Doctor is real, but this department mapping is wrong."
"manualDecision out_of_scope","Real person, but not relevant for residency roster."
"manualDecision keep_roster_only","Doctor may stay in hospital roster, but not department mapping."
"manualNotes","Free text. Use for duplicate target, mapping correction, or reviewer rationale."
"reviewer/reviewedAt","Optional reviewer name and review date/timestamp."
